# MPG 2.2m/GROND
# GROND KBand 
# Wavel [µm]  Transm [%]
1.800000      0.000000000 
1.801000      0.000000000 
1.802000      0.000000000 
1.803000      0.000000000 
1.804000      0.000000000 
1.805000      0.000000000 
1.806000      0.000000000 
1.807000      0.000000000 
1.808000      0.000000000 
1.809000      0.000000000 
1.810000      0.000000000 
1.811000      0.000000000 
1.812000      0.000000000 
1.813000      0.000000000 
1.814000      0.000000000 
1.815000      0.000000000 
1.816000      0.000000000 
1.817000      0.000000000 
1.818000      0.000000000 
1.819000      0.000000000 
1.820000      0.000000000 
1.821000      0.000000000 
1.822000      0.000000000 
1.823000      0.000000000 
1.824000      0.000000000 
1.825000      0.000000000 
1.826000      0.000000000 
1.827000      0.000000000 
1.828000      0.000000000 
1.829000      0.000000000 
1.830000      0.000000000 
1.831000      0.000000000 
1.832000      0.000000000 
1.833000      0.000000000 
1.834000      0.000000000 
1.835000      0.000000000 
1.836000      0.000000000 
1.837000      0.000000000 
1.838000      0.000000000 
1.839000      0.000000000 
1.840000      0.000000000 
1.841000      0.000000000 
1.842000      0.000000000 
1.843000      0.000000000 
1.844000      0.000000000 
1.845000      0.000000000 
1.846000      0.000000000 
1.847000      0.000000000 
1.848000      0.000000000 
1.849000      0.000000000 
1.850000      0.000000000 
1.851000      0.000000000 
1.852000      0.000000000 
1.853000      0.000000000 
1.854000      0.000000000 
1.855000      0.000000000 
1.856000      0.000000000 
1.857000      0.000000000 
1.858000      0.000000000 
1.859000      0.000000000 
1.860000      0.000000000 
1.861000      0.000000000 
1.862000      0.000000000 
1.863000      0.000000000 
1.864000      0.000000000 
1.865000      0.000000000 
1.866000      0.000000000 
1.867000      0.000000000 
1.868000      0.000000000 
1.869000      0.000000000 
1.870000      0.000000000 
1.871000      0.000000000 
1.872000      0.000000000 
1.873000      0.000000000 
1.874000      0.000000000 
1.875000      0.000000000 
1.876000      0.000000000 
1.877000      0.000000000 
1.878000      0.000000000 
1.879000      0.000000000 
1.880000      0.000000000 
1.881000      0.000000000 
1.882000      0.000000000 
1.883000      0.000000000 
1.884000      0.000000000 
1.885000      0.000000000 
1.886000      0.000000000 
1.887000      0.000000000 
1.888000      0.000000000 
1.889000      0.000000000 
1.890000      0.000000000 
