# Uniform top-hat spectral response curve for HST grism G141
# Wavelenght range: [1.58, 1.615]

# Wavel    Spectral Response
# microns  electrons / photon
1.570000   0.000000  
1.570118   0.000000  
1.570235   0.000000  
1.570353   0.000000  
1.570471   0.000000  
1.570588   0.000000  
1.570706   0.000000  
1.570824   0.000000  
1.570941   0.000000  
1.571059   0.000000  
1.571176   0.000000  
1.571294   0.000000  
1.571412   0.000000  
1.571529   0.000000  
1.571647   0.000000  
1.571765   0.000000  
1.571882   0.000000  
1.572000   0.000000  
1.572118   0.000000  
1.572235   0.000000  
1.572353   0.000000  
1.572471   0.000000  
1.572588   0.000000  
1.572706   0.000000  
1.572824   0.000000  
1.572941   0.000000  
1.573059   0.000000  
1.573176   0.000000  
1.573294   0.000000  
1.573412   0.000000  
1.573529   0.000000  
1.573647   0.000000  
1.573765   0.000000  
1.573882   0.000000  
1.574000   0.000000  
1.574118   0.000000  
1.574235   0.000000  
1.574353   0.000000  
1.574471   0.000000  
1.574588   0.000000  
1.574706   0.000000  
1.574824   0.000000  
1.574941   0.000000  
1.575059   0.000000  
1.575176   0.000000  
1.575294   0.000000  
1.575412   0.000000  
1.575529   0.000000  
1.575647   0.000000  
1.575765   0.000000  
1.575882   0.000000  
1.576000   0.000000  
1.576118   0.000000  
1.576235   0.000000  
1.576353   0.000000  
1.576471   0.000000  
1.576588   0.000000  
1.576706   0.000000  
1.576824   0.000000  
1.576941   0.000000  
1.577059   0.000000  
1.577176   0.000000  
1.577294   0.000000  
1.577412   0.000000  
1.577529   0.000000  
1.577647   0.000000  
1.577765   0.000000  
1.577882   0.000000  
1.578000   0.000000  
1.578118   0.000000  
1.578235   0.000000  
1.578353   0.000000  
1.578471   0.000000  
1.578588   0.000000  
1.578706   0.000000  
1.578824   0.000000  
1.578941   0.000000  
1.579059   0.000000  
1.579176   0.000000  
1.579294   0.000000  
1.579412   0.000000  
1.579529   0.000000  
1.579647   0.000000  
1.579765   0.000000  
1.579882   0.000000  
1.580000   0.000000  
1.580000   1.000000  
1.580117   1.000000  
1.580234   1.000000  
1.580351   1.000000  
1.580468   1.000000  
1.580585   1.000000  
1.580702   1.000000  
1.580819   1.000000  
1.580936   1.000000  
1.581054   1.000000  
1.581171   1.000000  
1.581288   1.000000  
1.581405   1.000000  
1.581522   1.000000  
1.581639   1.000000  
1.581756   1.000000  
1.581873   1.000000  
1.581990   1.000000  
1.582107   1.000000  
1.582224   1.000000  
1.582341   1.000000  
1.582458   1.000000  
1.582575   1.000000  
1.582692   1.000000  
1.582809   1.000000  
1.582926   1.000000  
1.583043   1.000000  
1.583161   1.000000  
1.583278   1.000000  
1.583395   1.000000  
1.583512   1.000000  
1.583629   1.000000  
1.583746   1.000000  
1.583863   1.000000  
1.583980   1.000000  
1.584097   1.000000  
1.584214   1.000000  
1.584331   1.000000  
1.584448   1.000000  
1.584565   1.000000  
1.584682   1.000000  
1.584799   1.000000  
1.584916   1.000000  
1.585033   1.000000  
1.585151   1.000000  
1.585268   1.000000  
1.585385   1.000000  
1.585502   1.000000  
1.585619   1.000000  
1.585736   1.000000  
1.585853   1.000000  
1.585970   1.000000  
1.586087   1.000000  
1.586204   1.000000  
1.586321   1.000000  
1.586438   1.000000  
1.586555   1.000000  
1.586672   1.000000  
1.586789   1.000000  
1.586906   1.000000  
1.587023   1.000000  
1.587140   1.000000  
1.587258   1.000000  
1.587375   1.000000  
